e, spectrum, unc
3.660000000000000142e+00,9.122693561402151680e+17,1.981359950811610520e+08
3.669999999999999929e+00,9.059231789227289600e+17,1.915616042290792763e+08
3.680000000000000160e+00,8.989670702251032320e+17,1.941806139338014126e+08
3.689999999999999947e+00,8.933303179841195520e+17,1.939281177457179725e+08
3.700000000000000178e+00,8.799862657840391680e+17,1.883258500926836431e+08
3.709999999999999964e+00,8.743751539764773120e+17,1.895521540401785374e+08
3.720000000000000195e+00,8.692255552135521280e+17,1.893947050158334672e+08
3.729999999999999982e+00,8.638741249363896320e+17,1.888084372995434105e+08
3.740000000000000213e+00,8.584553303918419200e+17,1.899815425562314987e+08
3.750000000000000000e+00,8.510139981737441280e+17,1.888148948591130078e+08
3.760000000000000231e+00,8.451093203816302080e+17,1.937542655831179023e+08
3.770000000000000018e+00,8.397440515461835520e+17,1.919010881320561767e+08
3.780000000000000249e+00,8.339185910752872960e+17,1.868812453799413145e+08
3.790000000000000036e+00,8.286861740155856640e+17,1.897601648996532857e+08
3.800000000000000266e+00,8.233948992313121280e+17,1.860161156296701431e+08
3.810000000000000053e+00,8.185045002120021760e+17,1.866639891476900280e+08
3.820000000000000284e+00,8.136753468668968960e+17,1.872258248281042874e+08
3.830000000000000071e+00,8.089264967632015360e+17,1.874775376028168201e+08
3.839999999999999858e+00,8.021909874004860160e+17,1.889874468599019647e+08
3.850000000000000089e+00,7.941846386687152640e+17,1.873865136806907952e+08
3.859999999999999876e+00,7.884058724642566400e+17,1.861495585093193352e+08
